UPC code,Item Name
XXX-20308200000,Broccoli Crowns
KEY-000000004094,Fresh Produce - Carrot Bunch
KEY-000000004062,Fresh Produce - Cucumbers
XXX-00000004072,Fresh Produce - Potatoes Russet
XXX-00000004131,Fresh Produce - Apples Fuji Large
KEY-00000004013,Produce - Orange Navel 113
UPC-048500001004,Tropicana - Juice Orange Pure Prem Orig
UPC-017400108700,Carolina - Whole Grain Brown Rice
UPC-016000487697,General Mills - Cherrios Multi Grain Cereal
UPC-073296027686,Urban Meadow - 100 Whole Wheat Bread
UPC-048000013651,Chicken of the Sea - Solid Wht Albacore Tuna in Oil
XXX-20115200000,Beef - Beef Semi Bnls Chuck Stk
XXX-28080600000,Perdue - Split Chicken Breast Fam Pack
UPC-073296057461,Urban Meadow - Plain Low Fat Yogurt
UPC-041757021443,Laughing Cow - White Cheddar Wedges
UPC-073296069280,Urban Meadow - Large White Eggs
UPC-088365000347,Cream O Land - Gallon 2% Milk
UPC-072940744016,Redpack - Tomato Crushed
UPC-051500255162,Jif - Creamy Peanut Butter
UPC-073296025903,Urban Meadow - Canola Oil
UPC-041331124461,Goya - Beans Cannelini Can
UPC-014500001894,Birds Eye - Spinach Leaf
